root-SubHaloID,merger-ratio,child-SubhaloIDRaw,child-SnapNum,child-SubhaloID,child-SubhaloMass,child-DescendantID,primary-SubhaloIDRaw,primary-SnapNum,primary-SubhaloID,primary-SubhaloMass,primary-DescendantID,secondary-SubhaloIDRaw,secondary-SnapNum,secondary-SubhaloID,secondary-SubhaloMass,secondary-DescendantID
0,0.9953541,51000000000000,51,10000000000000048,7653.2993,10000000000000047,50000000000007,50,10000000000000049,32.28028,10000000000000048,50000000000000,50,10000000000088149,6915.8496,10000000000000048
0,0.110434845,10000000120548,10,10000000000088188,0.34964523,10000000000088187,9000000100197,9,10000000000088189,0.21720378,10000000000088188,9000000100199,9,10000000000088198,0.02696471,10000000000088188
0,0.15082046,5000000217998,5,10000000000088193,0.0676694,10000000000088192,4000000282702,4,10000000000088194,0.044753894,10000000000088193,4000001191470,4,10000000000088197,0.007948617,10000000000088193
0,0.39126134,2000000005930,2,10000000000000097,0.19727847,10000000000000096,1000000022568,1,10000000000000098,0.01913791,10000000000000097,1000000042004,1,10000000000000099,0.012300722,10000000000000097
17185,0.10219524,7000000003426,7,4515263,2.744854,4515262,6000000002872,6,4515264,1.5854689,4515263,6000000002875,6,4515289,0.18047062,4515263
17185,0.13886534,5000000020053,5,4515290,0.50995934,4515289,4000000015702,4,4515291,0.3103739,4515290,4000000015703,4,4515295,0.05005045,4515290
17185,0.25635698,3000000003676,3,4515267,0.3454967,4515266,2000000002773,2,4515268,0.19993693,4515267,2000000002774,2,4515269,0.0689245,4515267
17185,0.29438418,3000000013931,3,4515292,0.24074346,4515291,2000000007719,2,4515293,0.10968161,4515292,2000000007720,2,4515294,0.045759365,4515292
17185,0.4547703,2000000002774,2,4515269,0.0689245,4515267,1000000015168,1,4515270,0.022817167,4515269,1000000023426,1,4515271,0.019031558,4515269
31342,0.99350154,29000000000000,29,70,2055.2993,69,28000000000003,28,71,11.326762,70,28000000000000,28,6835,1731.6621,70
31342,0.26526496,28000000000000,28,6835,1731.6621,70,26000000000088,26,6836,0.23677242,6835,27000000000139,27,7019,0.0854831,6835
31342,0.1113789,7000000215373,7,7039,0.13894175,7038,6000000238942,6,7040,0.09450124,7039,6000000959838,6,7045,0.011844694,7039
31342,0.48553473,2000000005279,2,6860,0.27622062,6859,1000000006468,1,6861,0.03797209,6860,1000000007859,1,6862,0.03583676,6860
41582,0.96917945,19000000004993,19,30000000200000080,90.231224,30000000200000079,18000000006691,18,30000000200000081,2.0215352,30000000200000080,18000000006690,18,30000000200000651,63.56906,30000000200000080
41582,0.9481586,17000000003245,17,30000000200000652,39.28948,30000000200000651,16000000002417,16,30000000200000653,0.47049117,30000000200000652,15000000003700,15,30000000200000794,8.605102,30000000200000652
41582,0.12431837,5000000014254,5,30000000200000804,0.5076563,30000000200000803,4000000026112,4,30000000200000805,0.22600095,30000000200000804,4000000026114,4,30000000200000810,0.0320848,30000000200000804
41582,0.13451377,3000000020638,3,30000000200000806,0.14183074,30000000200000805,2000000012607,2,30000000200000807,0.11533206,30000000200000806,2000000224173,2,30000000200000809,0.017924896,30000000200000806
41582,0.14408818,3000000004372,3,30000000200000096,0.57383215,30000000200000095,2000000002862,2,30000000200000097,0.32214314,30000000200000096,2000000002863,2,30000000200000100,0.054231077,30000000200000096
41582,0.33733928,2000000002862,2,30000000200000097,0.32214314,30000000200000096,1000000001931,1,30000000200000098,0.0475633,30000000200000097,1000000001932,1,30000000200000099,0.024212949,30000000200000097
41582,0.16801523,2000000002863,2,30000000200000100,0.054231077,30000000200000096,1000000001675,1,30000000200000101,0.08757067,30000000200000100,1000000017682,1,30000000200000102,0.017684463,30000000200000100
41582,0.38732898,2000000001316,2,30000000200000667,0.13933438,30000000200000666,1000000026828,1,30000000200000668,0.017402068,30000000200000667,1000000041863,1,30000000200000669,0.01100154,30000000200000667
52618,0.16070779,2000000000073,2,10000000008735045,1.6025707,10000000008735044,1000000004015,1,10000000008735046,0.050443266,10000000008735045,1000000000253,1,10000000008735047,0.009658883,10000000008735045
60731,0.19121677,7000000000916,7,20000000000000092,7.032128,20000000000000091,6000000000942,6,20000000000000093,3.9202068,20000000000000092,5000000006074,5,20000000000000139,0.9268358,20000000000000092
60731,0.2664188,5000000006074,5,20000000000000139,0.9268358,20000000000000092,4000000000483,4,20000000000000140,0.53460664,20000000000000139,4000000000485,4,20000000000000151,0.19415611,20000000000000139
60731,0.16268381,4000000000483,4,20000000000000140,0.53460664,20000000000000139,3000000003815,3,20000000000000141,0.18740004,20000000000000140,3000000003817,3,20000000000000147,0.036410324,20000000000000140
60731,0.30397987,3000000003815,3,20000000000000141,0.18740004,20000000000000140,2000000007848,2,20000000000000142,0.12938374,20000000000000141,2000000007849,2,20000000000000145,0.056507062,20000000000000141
60731,0.30973926,2000000007848,2,20000000000000142,0.12938374,20000000000000141,1000000011592,1,20000000000000143,0.028821914,20000000000000142,1000000025554,1,20000000000000144,0.012933197,20000000000000142
60731,0.38818932,2000000000822,2,20000000000000097,0.7971983,20000000000000096,1000000000881,1,20000000000000098,0.12955946,20000000000000097,1000000002120,1,20000000000000100,0.082204506,20000000000000097
69507,0.5685987,15000000015455,15,40000000100000084,10.119634,40000000100000083,13000000014176,13,40000000100000085,6.653036,40000000100000084,14000000015418,14,40000000100000205,8.768883,40000000100000084
69507,0.100218736,14000000015418,14,40000000100000205,8.768883,40000000100000084,13000000014178,13,40000000100000206,0.25600457,40000000100000205,13000000014184,13,40000000100000252,0.0285141,40000000100000205
69507,0.16572222,8000000134440,8,40000000100000257,0.22677104,40000000100000256,7000000120963,7,40000000100000258,0.16226934,40000000100000257,7000000120964,7,40000000100000266,0.032233432,40000000100000257
69507,0.37553644,4000000056907,4,40000000100000261,0.093038306,40000000100000260,3000000212230,3,40000000100000262,0.022667358,40000000100000261,3000000399044,3,40000000100000264,0.01363157,40000000100000261
69507,0.12218881,3000000021846,3,40000000100000216,0.19768289,40000000100000215,2000000023385,2,40000000100000217,0.10480504,40000000100000216,2000000112141,2,40000000100000219,0.014588562,40000000100000216
69507,0.30255222,3000000090882,3,40000000100000270,0.0649006,40000000100000269,2000000110563,2,40000000100000271,0.03237425,40000000100000270,2000000256732,2,40000000100000273,0.014043921,40000000100000270
76086,0.29707706,4000000006954,4,30000000100000095,0.72095793,30000000100000094,3000000007844,3,30000000100000096,0.3288132,30000000100000095,3000000040517,3,30000000100000101,0.13896666,30000000100000095
76086,0.16695112,3000000007844,3,30000000100000096,0.3288132,30000000100000095,2000000011240,2,30000000100000097,0.12853518,30000000100000096,2000000011241,2,30000000100000099,0.025759706,30000000100000096
76086,0.3194945,2000000022589,2,30000000100000102,0.11604284,30000000100000101,1000000004720,1,30000000100000103,0.029764608,30000000100000102,1000000004721,1,30000000100000104,0.013974359,30000000100000102
88663,0.9990543,82000000046482,82,30000000000000017,11242.366,30000000000000016,81000000045831,81,30000000000000018,10.201289,30000000000000017,81000000045820,81,30000000000166824,10776.557,30000000000000017
88663,0.99006814,72000000039951,72,30000000000166833,118.31683,30000000000166832,71000000039665,71,30000000000166834,83.27429,30000000000166833,70000000039628,70,30000000000241262,8301.321,30000000000166833
88663,0.6326043,70000000039628,70,30000000000241262,8301.321,30000000000166833,69000000042327,69,30000000000241263,0.009304706,30000000000241262,69000000042334,69,30000000000241639,0.016021408,30000000000241262
88663,0.49299216,48000000047938,48,30000000000166856,1601.3975,30000000000166855,47000000044938,47,30000000000166857,1518.3442,30000000000166856,46000000042402,46,30000000000199015,1476.3712,30000000000166856
88663,0.5454545,46000000042402,46,30000000000199015,1476.3712,30000000000166856,44000000036521,44,30000000000199016,0.010111486,30000000000199015,45000000040342,45,30000000000199066,0.012133783,30000000000199015
88663,0.20941484,22000000924587,22,30000000000199037,0.2024622,30000000000199036,21000000733031,21,30000000000199038,0.10486901,30000000000199037,21000000733033,21,30000000000199053,0.02777832,30000000000199037
88663,0.10673606,21000000733031,21,30000000000199038,0.10486901,30000000000199037,20000000997998,20,30000000000199039,0.08885317,30000000000199038,20000004647480,20,30000000000199052,0.010617061,30000000000199038
88663,0.26262978,13000002146632,13,30000000000199046,0.0332603,30000000000199045,12000002074111,12,30000000000199047,0.030482223,30000000000199046,11000003854912,11,30000000000199051,0.010856879,30000000000199046
88663,0.5914762,13000001589739,13,30000000000199098,0.045524478,30000000000199097,12000003540166,12,30000000000199099,0.012139638,30000000000199098,12000003168473,12,30000000000199104,0.017576227,30000000000199098
88663,0.11463795,5000000089033,5,30000000000166898,0.18913195,30000000000166897,4000000068317,4,30000000000166899,0.16018683,30000000000166898,3000000254962,3,30000000000166903,0.02074122,30000000000166898
88663,0.3361441,3000000024928,3,30000000000241705,0.12470458,30000000000241704,2000000142226,2,30000000000241706,0.027445385,30000000000241705,2000000359097,2,30000000000241707,0.013896998,30000000000241705
